Entrez	Symbol	Name	Entrez	Uniprot
9689	BZW1	basic leucine zipper and W2 domains 1	9689	Q7L1Q6
84618	NT5C1A	5'-nucleotidase, cytosolic IA	84618	Q9BXI3
93034	NT5C1B	5'-nucleotidase, cytosolic IB	93034	Q96P26
100526794	NT5C1B-RDH14	NT5C1B-RDH14 readthrough	100526794	Q96P26
51251	NT5C3A	5'-nucleotidase, cytosolic IIIA	51251	Q9H0P0
115024	NT5C3B	5'-nucleotidase, cytosolic IIIB	115024	Q969T7
22978	NT5C2	5'-nucleotidase, cytosolic II	22978	P49902
4907	NT5E	5'-nucleotidase ecto	4907	P21589
5226	PGD	phosphogluconate dehydrogenase	5226	P52209
25796	PGLS	6-phosphogluconolactonase	25796	O95336
6447	SCG5	secretogranin V	6447	P05408
4521	NUDT1	nudix hydrolase 1	4521	P36639
644100	ARL14EPL	ADP ribosylation factor like GTPase 14 effector protein like	644100	P0DKL9
126133	ALDH16A1	aldehyde dehydrogenase 16 family member A1	126133	Q8IZ83
55054	ATG16L1	autophagy related 16 like 1	55054	Q676U5
89849	ATG16L2	autophagy related 16 like 2	89849	Q8NAA4
5004	ORM1	orosomucoid 1	5004	P02763
5005	ORM2	orosomucoid 2	5005	P19652
5265	SERPINA1	serpin family A member 1	5265	P01009
1	A1BG	alpha-1-B glycoprotein	1	P04217
29974	A1CF	APOBEC1 complementation factor	29974	Q9NQ94
84210	ANKRD20A1	ankyrin repeat domain 20 family member A1	84210	Q5TYW2
5345	SERPINF2	serpin family F member 2	5345	P08697
116844	LRG1	leucine rich alpha-2-glycoprotein 1	116844	P02750
2	A2M	alpha-2-macroglobulin	2	P01023
144568	A2ML1	alpha-2-macroglobulin like 1	144568	A8K2U0
127550	A3GALT2	alpha 1,3-galactosyltransferase 2	127550	U3KPV4
53947	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947	Q9NPC4
51146	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	Q9UNA3
351	APP	amyloid beta precursor protein	351	P05067
552889	ATXN7L3B	ataxin 7 like 3B	552889	Q96GX2
134	ADORA1	adenosine A1 receptor	134	P30542
135	ADORA2A	adenosine A2a receptor	135	P29274
136	ADORA2B	adenosine A2b receptor	136	P29275
140	ADORA3	adenosine A3 receptor	140	P0DMS8
56301	SLC7A10	solute carrier family 7 member 10	56301	Q9NS82
13	AADAC	arylacetamide deacetylase	13	P22760
8086	AAAS	aladin WD repeat nucleoporin	8086	Q9NRG9
6510	SLC1A5	solute carrier family 1 member 5	6510	Q15758
65985	AACS	acetoacetyl-CoA synthetase	65985	Q86V21
12	SERPINA3	serpin family A member 3	12	P01011
51166	AADAT	aminoadipate aminotransferase	51166	Q8N5Z0
79719	AAGAB	alpha and gamma adaptin binding protein	79719	Q6PD74
22848	AAK1	AP2 associated kinase 1	22848	Q2M2I8
5564	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	5564	Q9Y478
5565	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2	5565	O43741
5571	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1	5571	P54619
51422	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	51422	Q9UGJ0
53632	PRKAG3	protein kinase AMP-activated non-catalytic subunit gamma 3	53632	Q9UGI9
28971	AAMDC	adipogenesis associated Mth938 domain containing	28971	Q9H7C9
14	AAMP	angio associated migratory cell protein	14	Q13685
5562	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1	5562	Q13131
5563	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	5563	P54646
25980	AAR2	AAR2 splicing factor	25980	Q9Y312
441376	AARD	alanine and arginine rich domain containing protein	441376	Q4LEZ3
100885850	PTGES3L-AARSD1	PTGES3L-AARSD1 readthrough	100885850	Q9BTE6
80755	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	Q9BTE6
10157	AASS	aminoadipate-semialdehyde synthase	10157	Q9UDR5
137362	GOT1L1	glutamic-oxaloacetic transaminase 1 like 1	137362	Q8NHS2
2805	GOT1	glutamic-oxaloacetic transaminase 1	2805	P17174
26574	AATF	apoptosis antagonizing transcription factor	26574	Q9NY61
2806	GOT2	glutamic-oxaloacetic transaminase 2	2806	P00505
145447	ABHD12B	abhydrolase domain containing 12B	145447	Q7Z5M8
81926	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	81926	Q96GS6
51104	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	51104	Q5VST6
58489	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	58489	Q6PCB6
54518	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein	54518	Q7Z5R6
100913187	APOBEC3A_B	APOBEC3A and APOBEC3B deletion hybrid	100913187	P31941
200315	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A	200315	P31941
9582	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	9582	Q9UH17
27350	APOBEC3C	apolipoprotein B mRNA editing enzyme catalytic subunit 3C	27350	Q9NRW3
200316	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F	200316	Q8IUX4
60489	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	60489	Q9HC16
164668	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H	164668	Q6NTF7
19	ABCA1	ATP binding cassette subfamily A member 1	19	O95477
20	ABCA2	ATP binding cassette subfamily A member 2	20	Q9BZC7
21	ABCA3	ATP binding cassette subfamily A member 3	21	Q99758
24	ABCA4	ATP binding cassette subfamily A member 4	24	P78363
23461	ABCA5	ATP binding cassette subfamily A member 5	23461	Q8WWZ7
23460	ABCA6	ATP binding cassette subfamily A member 6	23460	Q8N139
10347	ABCA7	ATP binding cassette subfamily A member 7	10347	Q8IZY2
10351	ABCA8	ATP binding cassette subfamily A member 8	10351	O94911
10350	ABCA9	ATP binding cassette subfamily A member 9	10350	Q8IUA7
10349	ABCA10	ATP binding cassette subfamily A member 10	10349	Q8WWZ4
26154	ABCA12	ATP binding cassette subfamily A member 12	26154	Q86UK0
154664	ABCA13	ATP binding cassette subfamily A member 13	154664	Q86UQ4
340273	ABCB5	ATP binding cassette subfamily B member 5	340273	Q2M3G0
10058	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	Q9NP58
22	ABCB7	ATP binding cassette subfamily B member 7	22	O75027
23457	ABCB9	ATP binding cassette subfamily B member 9	23457	Q9NP78
23456	ABCB10	ATP binding cassette subfamily B member 10	23456	Q9NRK6
8647	ABCB11	ATP binding cassette subfamily B member 11	8647	O95342
6833	ABCC8	ATP binding cassette subfamily C member 8	6833	Q09428
10060	ABCC9	ATP binding cassette subfamily C member 9	10060	O60706
215	ABCD1	ATP binding cassette subfamily D member 1	215	P33897
225	ABCD2	ATP binding cassette subfamily D member 2	225	Q9UBJ2
5825	ABCD3	ATP binding cassette subfamily D member 3	5825	P28288
5826	ABCD4	ATP binding cassette subfamily D member 4	5826	O14678
6059	ABCE1	ATP binding cassette subfamily E member 1	6059	P61221
23	ABCF1	ATP binding cassette subfamily F member 1	23	Q8NE71
114483834	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	114483834	Q9UG63
10061	ABCF2	ATP binding cassette subfamily F member 2	10061	Q9UG63
55324	ABCF3	ATP binding cassette subfamily F member 3	55324	Q9NUQ8
9619	ABCG1	ATP binding cassette subfamily G member 1	9619	P45844
9429	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	Q9UNQ0
64137	ABCG4	ATP binding cassette subfamily G member 4	64137	Q9H172
64240	ABCG5	ATP binding cassette subfamily G member 5	64240	Q9H222
64241	ABCG8	ATP binding cassette subfamily G member 8	64241	Q9H221
26090	ABHD12	abhydrolase domain containing 12, lysophospholipase	26090	Q8N2K0
339	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1	339	P41238
10930	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2	10930	Q9Y235
403314	APOBEC4	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4	403314	Q8WW27
116236	ABHD15	abhydrolase domain containing 15	116236	Q6UXT9
84696	ABHD1	abhydrolase domain containing 1	84696	Q96SE0
11057	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	11057	P08910
171586	ABHD3	abhydrolase domain containing 3, phospholipase	171586	Q8WU67
63874	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	63874	Q8TB40
51099	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	51099	Q8WTS1
57406	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	57406	Q9BV23
79575	ABHD8	abhydrolase domain containing 8	79575	Q96I13
55347	ABHD10	abhydrolase domain containing 10, depalmitoylase	55347	Q9NUJ1
83451	ABHD11	abhydrolase domain containing 11	83451	Q8NFV4
84945	ABHD13	abhydrolase domain containing 13	84945	Q7L211
25864	ABHD14A	abhydrolase domain containing 14A	25864	Q9BUJ0
84836	ABHD14B	abhydrolase domain containing 14B	84836	Q96IU4
7920	ABHD16A	abhydrolase domain containing 16A, phospholipase	7920	O95870
140701	ABHD16B	abhydrolase domain containing 16B	140701	Q9H3Z7
10006	ABI1	abl interactor 1	10006	Q8IZP0
10152	ABI2	abl interactor 2	10152	Q9NYB9
51225	ABI3	ABI family member 3	51225	Q9P2A4
54942	ABITRAM	actin binding transcription modulator	54942	Q9NX38
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	P00519
27	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	P42684
3983	ABLIM1	actin binding LIM protein 1	3983	O14639
84448	ABLIM2	actin binding LIM protein family member 2	84448	Q6H8Q1
22885	ABLIM3	actin binding LIM protein family member 3	22885	O94929
58527	ABRACL	ABRA C-terminal like	58527	Q9P1F3
137735	ABRA	actin binding Rho activating protein	137735	Q8N0Z2
84142	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142	Q6UWZ7
23172	ABRAXAS2	abraxas 2, BRISC complex subunit	23172	Q15018
29	ABR	ABR activator of RhoGEF and GTPase	29	Q12979
29777	ABT1	activator of basal transcription 1	29777	Q9ULW3
80325	ABTB1	ankyrin repeat and BTB domain containing 1	80325	Q969K4
25841	ABTB2	ankyrin repeat and BTB domain containing 2	25841	Q8N961
31	ACACA	acetyl-CoA carboxylase alpha	31	Q13085
32	ACACB	acetyl-CoA carboxylase beta	32	O00763
27034	ACAD8	acyl-CoA dehydrogenase family member 8	27034	Q9UKU7
28976	ACAD9	acyl-CoA dehydrogenase family member 9	28976	Q9H845
33	ACADL	acyl-CoA dehydrogenase long chain	33	P28330
34	ACADM	acyl-CoA dehydrogenase medium chain	34	P11310
35	ACADS	acyl-CoA dehydrogenase short chain	35	P16219
37	ACADVL	acyl-CoA dehydrogenase very long chain	37	P49748
9744	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	Q15027
23527	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527	Q15057
116983	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983	Q96P50
9197	SLC33A1	solute carrier family 33 member 1	9197	O00400
79777	ACBD4	acyl-CoA binding domain containing 4	79777	Q8NC06
91452	ACBD5	acyl-CoA binding domain containing 5	91452	Q5T8D3
84320	ACBD6	acyl-CoA binding domain containing 6	84320	Q9BR61
414149	ACBD7	acyl-CoA binding domain containing 7	414149	Q8N6N7
23205	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	Q96GR2
81616	ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616	Q5FVE4
1622	DBI	diazepam binding inhibitor, acyl-CoA binding protein	1622	P07108
80724	ACAD10	acyl-CoA dehydrogenase family member 10	80724	Q6JQN1
84129	ACAD11	acyl-CoA dehydrogenase family member 11	84129	Q709F0
36	ACADSB	acyl-CoA dehydrogenase short/branched chain	36	P45954
65057	ACD	ACD shelterin complex subunit and telomerase recruitment factor	65057	Q96AP0
59272	ACE2	angiotensin converting enzyme 2	59272	Q9BYF1
125981	ACER1	alkaline ceramidase 1	125981	Q8TDN7
340485	ACER2	alkaline ceramidase 2	340485	Q5QJU3
55331	ACER3	alkaline ceramidase 3	55331	Q9NUN7
43	ACHE	acetylcholinesterase (Cartwright blood group)	43	P22303
1636	ACE	angiotensin I converting enzyme	1636	P12821
57053	CHRNA10	cholinergic receptor nicotinic alpha 10 subunit	57053	Q9GZZ6
1135	CHRNA2	cholinergic receptor nicotinic alpha 2 subunit	1135	Q15822
1136	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	1136	P32297
1137	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	1137	P43681
1138	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit	1138	P30532
8973	CHRNA6	cholinergic receptor nicotinic alpha 6 subunit	8973	Q15825
1139	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit	1139	P36544
89832	CHRFAM7A	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion	89832	P36544
55584	CHRNA9	cholinergic receptor nicotinic alpha 9 subunit	55584	Q9UGM1
1134	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	1134	P02708
1141	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	1141	P17787
1142	CHRNB3	cholinergic receptor nicotinic beta 3 subunit	1142	Q05901
1143	CHRNB4	cholinergic receptor nicotinic beta 4 subunit	1143	P30926
1140	CHRNB1	cholinergic receptor nicotinic beta 1 subunit	1140	P11230
1144	CHRND	cholinergic receptor nicotinic delta subunit	1144	Q07001
1145	CHRNE	cholinergic receptor nicotinic epsilon subunit	1145	Q04844
1146	CHRNG	cholinergic receptor nicotinic gamma subunit	1146	P07510
22985	ACIN1	apoptotic chromatin condensation inducer 1	22985	Q9UKV3
10188	TNK2	tyrosine kinase non receptor 2	10188	Q07912
134145	ATPSCKMT	ATP synthase c subunit lysine N-methyltransferase	134145	Q6P4H8
2532	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	Q16570
1238	ACKR2	atypical chemokine receptor 2	1238	O00590
57007	ACKR3	atypical chemokine receptor 3	57007	P25106
51554	ACKR4	atypical chemokine receptor 4	51554	Q9NPB9
170487	ACTL10	actin like 10	170487	Q5JWF8
86	ACTL6A	actin like 6A	86	O96019
51412	ACTL6B	actin like 6B	51412	O94805
10881	ACTL7A	actin like 7A	10881	Q9Y615
10880	ACTL7B	actin like 7B	10880	Q9Y614
47	ACLY	ATP citrate lyase	47	P53396
1128	CHRM1	cholinergic receptor muscarinic 1	1128	P11229
1129	CHRM2	cholinergic receptor muscarinic 2	1129	P08172
1131	CHRM3	cholinergic receptor muscarinic 3	1131	P20309
1132	CHRM4	cholinergic receptor muscarinic 4	1132	P08173
1133	CHRM5	cholinergic receptor muscarinic 5	1133	P08912
130013	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	Q8TDX5
26027	ACOT11	acyl-CoA thioesterase 11	26027	Q8WXI4
134526	ACOT12	acyl-CoA thioesterase 12	134526	Q8WYK0
55856	ACOT13	acyl-CoA thioesterase 13	55856	Q9NPJ3
48	ACO1	aconitase 1	48	P21399
50	ACO2	aconitase 2	50	Q99798
641371	ACOT1	acyl-CoA thioesterase 1	641371	Q86TX2
10965	ACOT2	acyl-CoA thioesterase 2	10965	P49753
122970	ACOT4	acyl-CoA thioesterase 4	122970	Q8N9L9
641372	ACOT6	acyl-CoA thioesterase 6	641372	Q3I5F7
10005	ACOT8	acyl-CoA thioesterase 8	10005	O14734
23597	ACOT9	acyl-CoA thioesterase 9	23597	Q9Y305
51	ACOX1	acyl-CoA oxidase 1	51	Q15067
8309	ACOX2	acyl-CoA oxidase 2	8309	Q99424
8310	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	O15254
55289	ACOXL	acyl-CoA oxidase like	55289	Q9NUZ1
390928	ACP7	acid phosphatase 7, tartrate resistant (putative)	390928	Q6ZNF0
327	APEH	acylaminoacyl-peptide hydrolase	327	P13798
4706	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	4706	O14561
84519	ACRBP	acrosin binding protein	84519	Q8NEB7
49	ACR	acrosin	49	P10323
123876	ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876	Q08AH3
348158	ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158	Q68CK6
84532	ACSS1	acyl-CoA synthetase short chain family member 1	84532	Q9NUB1
55902	ACSS2	acyl-CoA synthetase short chain family member 2	55902	Q9NR19
80221	ACSF2	acyl-CoA synthetase family member 2	80221	Q96CM8
197322	ACSF3	acyl-CoA synthetase family member 3	197322	Q4G176
132949	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	Q4L235
2180	ACSL1	acyl-CoA synthetase long chain family member 1	2180	P33121
2181	ACSL3	acyl-CoA synthetase long chain family member 3	2181	O95573
2182	ACSL4	acyl-CoA synthetase long chain family member 4	2182	O60488
51703	ACSL5	acyl-CoA synthetase long chain family member 5	51703	Q9ULC5
23305	ACSL6	acyl-CoA synthetase long chain family member 6	23305	Q9UKU0
116285	ACSM1	acyl-CoA synthetase medium chain family member 1	116285	Q08AH1
6296	ACSM3	acyl-CoA synthetase medium chain family member 3	6296	Q53FZ2
341392	ACSM4	acyl-CoA synthetase medium chain family member 4	341392	P0C7M7
54988	ACSM5	acyl-CoA synthetase medium chain family member 5	54988	Q6NUN0
142827	ACSM6	acyl-CoA synthetase medium chain family member 6	142827	Q6P461
79611	ACSS3	acyl-CoA synthetase short chain family member 3	79611	Q9H6R3
59	ACTA2	actin alpha 2, smooth muscle	59	P62736
345651	ACTBL2	actin beta like 2	345651	Q562R1
60	ACTB	actin beta	60	P60709
70	ACTC1	actin alpha cardiac muscle 1	70	P68032
71	ACTG1	actin gamma 1	71	P63261
4158	MC2R	melanocortin 2 receptor	4158	Q01718
72	ACTG2	actin gamma 2, smooth muscle	72	P63267
81569	ACTL8	actin like 8	81569	Q9H568
284382	ACTL9	actin like 9	284382	Q8TC94
87	ACTN1	actinin alpha 1	87	P12814
88	ACTN2	actinin alpha 2	88	P35609
89	ACTN3	actinin alpha 3	89	Q08043
81	ACTN4	actinin alpha 4	81	O43707
58	ACTA1	actin alpha 1, skeletal muscle	58	P68133
139741	ACTRT1	actin related protein T1	139741	Q8TDG2
140625	ACTRT2	actin related protein T2	140625	Q8TDY3
84517	ACTRT3	actin related protein T3	84517	Q9BYD9
10120	ACTR1B	actin related protein 1B	10120	P42025
10121	ACTR1A	actin related protein 1A	10121	P61163
91	ACVR1B	activin A receptor type 1B	91	P36896
130399	ACVR1C	activin A receptor type 1C	130399	Q8NER5
94	ACVRL1	activin A receptor like type 1	94	P37023
90	ACVR1	activin A receptor type 1	90	Q04771
95	ACY1	aminoacylase 1	95	Q03154
443	ASPA	aspartoacylase	443	P45381
91703	ACY3	aminoacylase 3	91703	Q96HD9
97	ACYP1	acylphosphatase 1	97	P07311
98	ACYP2	acylphosphatase 2	98	P14621
102	ADAM10	ADAM metallopeptidase domain 10	102	O14672
4185	ADAM11	ADAM metallopeptidase domain 11	4185	O75078
8038	ADAM12	ADAM metallopeptidase domain 12	8038	O43184
8751	ADAM15	ADAM metallopeptidase domain 15	8751	Q13444
6868	ADAM17	ADAM metallopeptidase domain 17	6868	P78536
8749	ADAM18	ADAM metallopeptidase domain 18	8749	Q9Y3Q7
8728	ADAM19	ADAM metallopeptidase domain 19	8728	Q9H013
148	ADRA1A	adrenoceptor alpha 1A	148	P35348
147	ADRA1B	adrenoceptor alpha 1B	147	P35368
146	ADRA1D	adrenoceptor alpha 1D	146	P25100
8748	ADAM20	ADAM metallopeptidase domain 20	8748	O43506
8747	ADAM21	ADAM metallopeptidase domain 21	8747	Q9UKJ8
53616	ADAM22	ADAM metallopeptidase domain 22	53616	Q9P0K1
8745	ADAM23	ADAM metallopeptidase domain 23	8745	O75077
10863	ADAM28	ADAM metallopeptidase domain 28	10863	Q9UKQ2
11086	ADAM29	ADAM metallopeptidase domain 29	11086	Q9UKF5
150	ADRA2A	adrenoceptor alpha 2A	150	P08913
151	ADRA2B	adrenoceptor alpha 2B	151	P18089
152	ADRA2C	adrenoceptor alpha 2C	152	P18825
51816	ADA2	adenosine deaminase 2	51816	Q9NZK5
11085	ADAM30	ADAM metallopeptidase domain 30	11085	Q9UKF2
203102	ADAM32	ADAM metallopeptidase domain 32	203102	Q8TC27
80332	ADAM33	ADAM metallopeptidase domain 33	80332	Q9BZ11
132612	ADAD1	adenosine deaminase domain containing 1	132612	Q96M93
161931	ADAD2	adenosine deaminase domain containing 2	161931	Q8NCV1
161823	ADAL	adenosine deaminase like	161823	Q6DHV7
2515	ADAM2	ADAM metallopeptidase domain 2	2515	Q99965
8756	ADAM7	ADAM metallopeptidase domain 7	8756	Q9H2U9
101	ADAM8	ADAM metallopeptidase domain 8	101	P78325
8754	ADAM9	ADAM metallopeptidase domain 9	8754	Q13443
11033	ADAP1	ArfGAP with dual PH domains 1	11033	O75689
55803	ADAP2	ArfGAP with dual PH domains 2	55803	Q9NPF8
8540	AGPS	alkylglycerone phosphate synthase	8540	O00116
23536	ADAT1	adenosine deaminase tRNA specific 1	23536	Q9BUB4
134637	ADAT2	adenosine deaminase tRNA specific 2	134637	Q7Z6V5
113179	ADAT3	adenosine deaminase tRNA specific 3	113179	Q96EY9
100	ADA	adenosine deaminase	100	P00813
57143	ADCK1	aarF domain containing kinase 1	57143	Q86TW2
90956	ADCK2	aarF domain containing kinase 2	90956	Q7Z695
203054	ADCK5	aarF domain containing kinase 5	203054	Q3MIX3
344752	AADACL2	arylacetamide deacetylase like 2	344752	Q6P093
126767	AADACL3	arylacetamide deacetylase like 3	126767	Q5VUY0
343066	AADACL4	arylacetamide deacetylase like 4	343066	Q5VUY2
107	ADCY1	adenylate cyclase 1	107	Q08828
108	ADCY2	adenylate cyclase 2	108	Q08462
109	ADCY3	adenylate cyclase 3	109	O60266
196883	ADCY4	adenylate cyclase 4	196883	Q8NFM4
111	ADCY5	adenylate cyclase 5	111	O95622
112	ADCY6	adenylate cyclase 6	112	O43306
113	ADCY7	adenylate cyclase 7	113	P51828
114	ADCY8	adenylate cyclase 8	114	P40145
115	ADCY9	adenylate cyclase 9	115	O60503
55811	ADCY10	adenylate cyclase 10	55811	Q96PN6
118	ADD1	adducin 1	118	P35611
119	ADD2	adducin 2	119	P35612
120	ADD3	adducin 3	120	Q9UEY8
27299	ADAMDEC1	ADAM like decysin 1	27299	O15204
79747	ADGB	androglobin	79747	Q8N7X0
124	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	124	P07327
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	125	P00325
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	P00326
127	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	127	P08319
130	ADH6	alcohol dehydrogenase 6 (class V)	130	P28332
131	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	131	P40394
128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	128	P11766
149685	ADIG	adipogenin	149685	Q0VDE8
388581	C1QTNF12	C1q and TNF related 12	388581	Q5T7M4
9370	ADIPOQ	adiponectin, C1Q and collagen domain containing	9370	Q15848
117178	SSX2IP	SSX family member 2 interacting protein	117178	Q9Y2D8
10974	ADIRF	adipogenesis regulatory factor	10974	Q15847
132	ADK	adenosine kinase	132	P55263
