NUMBER	SwissProt ID (DUB)	SwissProt ID (Substrate)	SwissProt AC (DUB)	SwissProt AC (Substrate)	Gene Symbol (DUB)	Gene Symbol (Substrate)	SOURCE	SOURCEID	SENTENCE	DUBTYPE	COUNT	type	species
14	E7EYZ1_DANRE	PIS4A_DANRE	E7EYZ1	F1R4C4	usp18	pias4a	MEDLINE	28165509	28165509	USP	1	Other	D.rerio
15	E7EZD6_DANRE	F1QS48_DANRE	E7EZD6	F1QS48	usp4	smad4a	MEDLINE	28468752	28468752	USP	1	Other	D.rerio
16	UBP3_HUMAN	DDX58_HUMAN	Q9Y6I4	O95786	USP3	DDX58	MEDLINE	24366338	<span class="match term0">USP3</span> inhibits type I interferon signaling by deubiquitinating <span class="match term1">RIG-I</span>-like receptors	USP	1	Training data	H.sapiens
17	UBP13_HUMAN	TOPB1_HUMAN	Q92995	Q92547	USP13	TOPBP1	MEDLINE	33592542	Mechanistically, <span class="match term0">USP13</span> binds to <span class="match term1">TopBP1</span> and stabilizes <span class="match term1">TopBP1</span> by deubiquitination	USP	1	Other	H.sapiens
18	UBP7_HUMAN	ARMC5_HUMAN	Q93009	Q96C12	USP7	ARMC5	MEDLINE	33544460	By screening a deubiquitinase library, we identified <span class="match term0">USP7</span> as a potential <span class="match term1">ARMC5</span> associated deubiquitinase	USP	1	Other	H.sapiens
19	UBP8_HUMAN	CXA1_HUMAN	P40818	P17302	USP8	GJA1	MEDLINE	29626091	The ubiquitin-specific protease <span class="match term0">USP8</span> deubiquitinates and stabilizes <span class="match term1">Cx43</span>	USP	1	Training data	H.sapiens
20	UBP21_HUMAN	FOSL1_HUMAN	Q9UK80	P15407	USP21	FOSL1	MEDLINE	31947604	These results demonstrate that <span class="match term0">USP21</span> enhances <span class="match term1">Fra</span>-1 stability and AP-1 target gene expression by deubiquitinating <span class="match term1">Fra</span>-1	USP	1	Other	H.sapiens
21	USP9X_HUMAN	TTK_HUMAN	Q93008	P33981	USP9X	TTK	MEDLINE	29721084	Conclusions: In summary, our data demonstrated that the <span class="match term0">USP9X</span>-<span class="match term1">TTK</span> axis may play a critical role in NSCLC, and could be considered as a potential therapeutic target.	USP	1	Training data	H.sapiens
22	UBP16_HUMAN	RS27A_HUMAN	Q9Y5T5	P62979	USP16	RPS27A	MEDLINE	32129764	<span class="match term0">USP16</span> counteracts mono-ubiquitination of <span class="match term1">RPS27a</span> and promotes maturation of the 40S ribosomal subunit	USP	1	Other	H.sapiens
23	ATX3_HUMAN	GBRAP_HUMAN	P54252	O95166	ATXN3	GABARAP	MEDLINE	31625269	The Machado-Joseph disease deubiquitylase <span class="match term0">ataxin-3</span> interacts with LC3C/<span class="match term1">GABARAP</span> and promotes autophagy	Josephin	1	Other	H.sapiens
24	UBP1_HUMAN	ESR1_HUMAN	O94782	P03372	USP1	ESR1	MEDLINE	33123289	Immuno-precipitation assays indicate that <span class="match term0">USP1</span> associates with <span class="match term1">ERALPHA</span> and promotes its stability possibly via inhibiting <span class="match term1">ERALPHA</span> K48-linked poly-ubiquitination	USP	1	Other	H.sapiens
25	UBP18_HUMAN	ISG15_HUMAN	Q9UMW8	P05161	USP18	ISG15	MEDLINE	28242811	Prior work implicated the IFN-stimulated gene 15 (<span class="match term1">ISG15</span>) deubiquitinase (DUB) <span class="match term0">USP18</span> as having antineoplastic activity by regulating lung cancer growth and oncoprotein stability	USP	1	Other	H.sapiens
26	UBP7_HUMAN	MAF_HUMAN	Q93009	O75444	USP7	MAF	MEDLINE	31822558	These results therefore demonstrated that <span class="match term0">USP7</span> is a deubiquitinase of <span class="match term1">Maf</span> proteins and promotes MM cell survival in association with <span class="match term1">Maf</span> stability	USP	1	Other	H.sapiens
27	ATX3_HUMAN	MLP3C_HUMAN	P54252	Q9BXW4	ATXN3	MAP1LC3C	MEDLINE	31625269	The Machado-Joseph disease deubiquitylase <span class="match term0">ataxin-3</span> interacts with <span class="match term1">LC3C</span>/GABARAP and promotes autophagy	Josephin	1	Other	H.sapiens
28	UBP21_HUMAN	RIPK1_HUMAN	Q9UK80	Q13546	USP21	RIPK1	MEDLINE	25680095	The contrast in the phenotype of the <span class="match term0">Usp21</span>-knockout line with the previously characterized GATA3 and <span class="match term1">RIPK1</span> knockout mice strongly indicates that <span class="match term0">USP21</span> is redundant for the regulation of GATA3 and <span class="match term1">RIPK1</span> activity during mouse development, in hematopoietic stem cells, and in lymphocyte differentiation.	USP	1	Training data	H.sapiens
29	UBP26_HUMAN	ANDR_HUMAN	Q9BXU7	P10275	USP26	AR	MEDLINE	20501646	Our data suggest that <span class="match term0">USP26</span> assembles with <span class="match term1">AR</span> and other cofactors in subnuclear foci, and serves to counteract hormone-induced <span class="match term1">AR</span> ubiquitination, thereby contributing to the regulation of <span class="match term1">AR</span> transcriptional activity.	USP	1	Training data	H.sapiens
30	UBP22_HUMAN	EGFR_HUMAN	Q9UPT9	P00533	USP22	EGFR	MEDLINE	29981430	Additionally, <span class="match term0">USP22</span> sustained the activation of multiple <span class="match term1">EGFR</span> downstream signaling pathways, including STAT3, AKT/mTOR and MEK/ERK pathways, in lung ADC cell lines H1975 and PC9.	USP	1	Training data	H.sapiens
31	UBP19_HUMAN	TRAF3_HUMAN	O94966	Q13114	USP19	TRAF3	MEDLINE	28391724	<span class="match term0">USP19</span> suppresses cellular type I interferon signaling by targeting <span class="match term1">TRAF3</span> for deubiquitination	USP	1	Training data	H.sapiens
32	ATX3_HUMAN	PRKN_HUMAN	P54252	O60260	ATXN3	PRKN	MEDLINE	20940148	Moreover, <span class="match term0">ataxin-3</span> deubiquitinates <span class="match term1">parkin</span> directly in vitro and in cells	Josephin	1	Training data	H.sapiens
33	OTUB2_HUMAN	TRAF6_HUMAN	Q96DC9	Q9Y4K3	OTUB2	TRAF6	MEDLINE	19996094	Regulation of virus-triggered signaling by OTUB1- and <span class="match term0">OTUB2</span>-mediated deubiquitination of TRAF3 and <span class="match term1">TRAF6</span>	OTU	1	Training data	H.sapiens
34	UBP4_HUMAN	RB_HUMAN	Q13107	P06400	USP4	RB1	MEDLINE	25121098	<span class="match term0">USP4</span>, reported as an oncogenic protein, is known to interact with the pocket proteins (<span class="match term1">Rb</span>, p107, and p130) although no deubiquitinating activity has been reported	USP	1	Training data	H.sapiens
35	CYLD_HUMAN	DDX58_HUMAN	Q9NQC7	O95786	CYLD	DDX58	MEDLINE	27279133	SDC4 likely promotes redistribution of <span class="match term1">RIG-I</span> and <span class="match term0">CYLD</span> in a perinuclear pattern post viral infection, and thus enhances the <span class="match term1">RIG-I</span>-<span class="match term0">CYLD</span> interaction and potentiates the K63-linked deubiquitination of <span class="match term1">RIG-I</span>.	USP	1	Training data	H.sapiens
36	UBP4_HUMAN	TRAF6_HUMAN	Q13107	Q9Y4K3	USP4	TRAF6	MEDLINE	28755289	The downregulation of <span class="match term0">USP4</span> expression may promote microglial activation and subsequent neuronal inflammation through NF-kappaB by attenuating the deubiquitination of <span class="match term1">TRAF6</span>	USP	1	Training data	H.sapiens
37	ATX3_HUMAN	CHIP_HUMAN	P54252	Q9UNE7	ATXN3	STUB1	MEDLINE	23653622	Indeed, <span class="match term0">ataxin-3</span> not only deubiquitinated <span class="match term1">CHIP</span>, but also trimmed Ub conjugates on <span class="match term1">CHIP</span> substrates, thereby regulating the length of Ub chains.	Josephin	1	Training data	H.sapiens
38	OTUD5_HUMAN	XRCC5_HUMAN	Q96G74	P13010	OTUD5	XRCC5	MEDLINE	30980112	In summary, our study demonstrates that <span class="match term0">OTUD5</span> is a specific deubiquitinase for <span class="match term1">Ku80</span> and establishes <span class="match term0">OTUD5</span> as an important and positive regulator of NHEJ repair.	OTU	1	Training data	H.sapiens
39	STABP_HUMAN	EGFR_HUMAN	O95630	P00533	STAMBP	EGFR	MEDLINE	34102455	<span class="match term0">STAMBP</span> may deubiquitinate <span class="match term1">EGFR</span> by localizing in early endosomes and increase EGFR membrane localization in LUAD cells.	Other	1	Other	H.sapiens
40	USP9X_HUMAN	BCL9_HUMAN	Q93008	O00512	USP9X	BCL9	MEDLINE	31073027	Here, using MCF-7, HeLa, HEK293T, MDA-MB-231, and Sf9 cells, along with immunoblotting and immunofluorescence, nano-HPLC-MS/MS, deubiquitination, immunoprecipitation, and chromatin immunoprecipitation (ChIP) assays, we report that <span class="match term1">BCL9</span> physically associates with a protein deubiquitinase, ubiquitin-specific peptidase 9, X-linked (<span class="match term0">USP9X</span>), and that <span class="match term0">USP9X</span> removes Lys-63-linked polyubiquitin on Lys-212 of <span class="match term1">BCL9</span>	USP	1	Other	H.sapiens
41	UBP7_HUMAN	MPIP1_HUMAN	Q93009	P30304	USP7	CDC25A	MEDLINE	32860838	Furthermore, in a co-immunoprecipitation assay, we found that <span class="match term0">HAUSP</span> interacts with and deubiquitinates <span class="match term1">Cdc25A</span> both exogenously and endogenously	USP	1	Other	H.sapiens
42	BAP1_HUMAN	STK11_HUMAN	Q92560	Q15831	BAP1	STK11	MEDLINE	32819560	<span class="match term0">BAP1</span> regulates AMPK-mTOR signalling pathway through deubiquitinating and stabilizing tumour-suppressor <span class="match term1">LKB1</span>	UCH	1	Other	H.sapiens
43	UBP7_HUMAN	SOCS1_HUMAN	Q93009	O15524	USP7	SOCS1	MEDLINE	31691271	<span class="match term0">USP7</span> physically interacts with suppressor of cytokine signaling 1 (<span class="match term1">SOCS1</span>) and enhances <span class="match term1">SOCS1</span> protein stability by deubiquitination effects, which in turn restricts IFN-I-induced activation of Janus kinase-signal transducer and activator of transcription 1 signaling	USP	1	Other	H.sapiens
44	UBP8_HUMAN	STAM1_HUMAN	P40818	Q92783	USP8	STAM	MEDLINE	16996268	<span class="match term0">UBPY</span> function is essential for effective downregulation but is likely to be multifaceted, encompassing activity against both K63-linked and K48-linked polyubiquitin chains and including regulation of the stability of ESCRT-associated proteins such as <span class="match term1">STAM</span>, by reversing their ubiquitination.	USP	1	Other	H.sapiens
45	UBP4_HUMAN	P53_HUMAN	Q13107	P04637	USP4	TP53	MEDLINE	25121098	Regulation of <span class="match term1">p53</span> is also subject to other DUBs, such as <span class="match term0">USP4</span>, USP10, USP29, and <span class="match term0">USP4</span>2 [171].	USP	1	Training data	H.sapiens
46	UBP28_HUMAN	FBXW7_HUMAN	Q96RU2	Q969H0	USP28	FBXW7	MEDLINE	26410034	We discuss mechanisms that regulate ubiquitination by <span class="match term1">Fbw7</span>, including ubiquitin-specific proteases such as <span class="match term0">USP28</span> that counteract <span class="match term1">Fbw7</span> activity and thereby stabilise oncoproteins.	USP	1	Training data	H.sapiens
47	UCHL1_HUMAN	NFKB1_HUMAN	P09936	P19838	UCHL1	NFKB1	MEDLINE	30305579	It was showed that <span class="match term0">UCH-L1</span> over-expression inhibited <span class="match term1">NF-KAPPAB</span> activation and decrease IL-6 and IL-8 levels, while knockdown of it enhanced <span class="match term1">NF-KAPPAB</span> activation and increase IL-6 and IL-8 levels during TNF-alpha treatment.	UCH	1	Training data	H.sapiens
48	UBP11_HUMAN	PP1A_HUMAN	P51784	P62136	USP11	PPP1CA	MEDLINE	31521612	Mechanically, <span class="match term0">USP11</span> stabilized <span class="match term1">PPP1CA</span> by deubiquitinating and protecting it from proteasome-mediated degradation	USP	1	Other	H.sapiens
49	OTUD4_HUMAN	MAVS_HUMAN	Q01804	Q7Z434	OTUD4	MAVS	MEDLINE	30410068	Induction of <span class="match term0">OTUD4</span> by viral infection promotes antiviral responses through deubiquitinating and stabilizing <span class="match term1">MAVS</span>	OTU	1	Training data	H.sapiens
50	UBP13_HUMAN	ACLY_HUMAN	Q92995	P53396	USP13	ACLY	MEDLINE	30319415	<span class="match term0">USP13</span>, the main regulator of ovarian cancer energy metabolism, specifically deubiquitinates and stabilizes oxoglutarate dehydrogenase and ATP citrate lyase, which can catalyze fatty acid synthesis, glutaminolysis and mitochondrial respiration.	USP	1	Training data	H.sapiens
51	UBP20_HUMAN	ADRB2_HUMAN	Q9Y2K6	P07550	USP20	ADRB2	MEDLINE	26445063	26445063	USP	1	Training data	H.sapiens
52	UBP33_HUMAN	ADRB2_HUMAN	Q8TEY7	P07550	USP33	ADRB2	MEDLINE	26445063	26445063	USP	1	Training data	H.sapiens
53	UBP3_HUMAN	MPIP1_HUMAN	Q9Y6I4	P30304	USP3	CDC25A	MEDLINE	32415280	<span class="match term0">USP3</span> was identified as a deubiquitinase of <span class="match term1">Cdc25A</span>	USP	1	Other	H.sapiens
54	UBP15_HUMAN	APC_HUMAN	Q9Y4E8	P25054	USP15	APC	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
55	USP9X_HUMAN	CTNB1_HUMAN	Q93008	P35222	USP9X	CTNNB1	MEDLINE	29080116	Additionally, DUBs USP14, USP15, USP47, and Fam/<span class="match term0">USP9X</span> have been reported to prevent <span class="match term1">BETA-CATENIN</span> turnover by inhibiting its Ub-proteasomal degradation	USP	1	Training data	H.sapiens
56	UBP33_HUMAN	ARRB1_HUMAN	Q8TEY7	P49407	USP33	ARRB1	MEDLINE	19363159	We now report the discovery that the deubiquitinating enzyme ubiquitin-specific protease 33 (<span class="match term0">USP33</span>) binds beta-arrestin2 and leads to the deubiquitination of beta-arrestins	USP	1	Training data	H.sapiens
57	UBP7_HUMAN	ASXL1_HUMAN	Q93009	Q8IXJ9	USP7	ASXL1	MEDLINE	26189775	26189775	USP	1	Training data	H.sapiens
58	UBP2_HUMAN	AURKA_HUMAN	O75604	O14965	USP2	AURKA	MEDLINE	29449607	In various cancers, including prostate cancer and ovarian carcinoma, upregulation of <span class="match term0">USP2</span> leads to an increase in the levels of deubiquitinated substrates such as fatty acid synthase, MDM2, cyclin D1 and <span class="match term1">Aurora-A</span>.	USP	1	Training data	H.sapiens
59	UBP13_HUMAN	MITF_HUMAN	Q92995	O75030	USP13	MITF	MEDLINE	28544818	However, deubiquitinase <span class="match term0">USP13</span> can stabilize <span class="match term1">MITF</span> expression and prolong its half-life.	USP	1	Training data	H.sapiens
60	VCIP1_HUMAN	SNTG2_HUMAN	Q96JH7	Q9NY99	VCPIP1	SNTG2	MEDLINE	27404360	<span class="match term1">Syn5</span> is monoubiquitinated by the ubiquitin ligase HACE1 in early mitosis and deubiquitinated by the deubiquitinase <span class="match term0">VCIP135</span> in late mitosis	OTU	1	Other	H.sapiens
61	BRCC3_HUMAN	NUMA1_HUMAN	P46736	Q14980	BRCC3	NUMA1	MEDLINE	26195665	importantly, <span class="match term0">BRISC</span> promotes the assembly of functional bipolar spindle by deubiquitinating the essential spindle assembly factor nuclear mitotic apparatus (<span class="match term1">NuMA</span>).	JAMM	1	Training data	H.sapiens
62	UBP44_HUMAN	CDC20_HUMAN	Q9H0E7	Q12834	USP44	CDC20	MEDLINE	28188342	<span class="match term0">Usp44</span>, however, counteracts the activity of the APC/C by deubiquitinating <span class="match term1">Cdc20</span>, thereby preventing premature Mad2-dissociation and SAC silencing	USP	1	Training data	H.sapiens
63	UBP4_HUMAN	DDX58_HUMAN	Q13107	O95786	USP4	DDX58	MEDLINE	23388719	Furthermore, <span class="match term0">USP4</span> was found to interact with <span class="match term1">RIG-I</span> and remove K48-linked polyubiquitination chains from <span class="match term1">RIG-I</span>.	USP	1	Training data	H.sapiens
64	USP9X_HUMAN	STMN1_HUMAN	Q93008	P16949	USP9X	STMN1	MEDLINE	23112048	In this report, we find that <span class="match term0">Usp9x</span>, a deubiquitinating enzyme, stably associates with the <span class="match term1">SMN</span> complex via directly interacting with <span class="match term1">SMN</span>.	USP	1	Other	H.sapiens
65	OTU6A_HUMAN	AURKA_HUMAN	Q7L8S5	O14965	OTUD6A	AURKA	MEDLINE	33669244	<span class="match term0">OTUD6A</span> interacts with Aurora-A through OTU and kinase domains, respectively, and deubiquitinates <span class="match term1">Aurora-A</span>	OTU	1	Other	H.sapiens
66	UBP7_HUMAN	AURKA_HUMAN	Q93009	O14965	USP7	AURKA	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
67	UBP46_HUMAN	PHLP1_HUMAN	P62068	O60346	USP46	PHLPP1	MEDLINE	25121098	SP1 [137] and <span class="match term0">USP46</span> [138] are other DUBs known to deubiquitinate <span class="match term1">PHLPP1</span>	USP	1	Training data	H.sapiens
68	UCHL1_HUMAN	SC5A7_HUMAN	P09936	Q9GZV3	UCHL1	SLC5A7	MEDLINE	24525247	These data provide novel and potentially important evidence that <span class="match term0">UCHL1</span> may play a role in the regulation of cholinergic function by affecting <span class="match term1">CHT</span> ubiquitination and degradation	UCH	1	Other	H.sapiens
69	OTUB1_HUMAN	TAU_HUMAN	Q96FW1	P10636	OTUB1	MAPT	MEDLINE	28083634	Focusing on <span class="match term1">Tau</span> deubiquitination, we here identify <span class="match term0">Otub1</span> as a <span class="match term1">Tau</span>-deubiquitinating enzyme. <span class="match term0">Otub1</span> directly affected Lys48-linked <span class="match term1">Tau</span> deubiquitination	OTU	1	Training data	H.sapiens
70	UBP35_HUMAN	AURKB_HUMAN	Q9P2H5	Q96GD4	USP35	AURKB	MEDLINE	29764563	Recently, we have found that <span class="match term0">USP35</span> acts as a deubiquitinating enzyme (DUB) for <span class="match term1">Aurora B</span> and affects its stability during cell division, thus being involved in the regulation of mitosis.	USP	1	Training data	H.sapiens
71	SNUT2_HUMAN	AURKB_HUMAN	Q53GS9	Q96GD4	USP39	AURKB	MEDLINE	25121098	<span class="match term0">USP39</span> deubiquitinates <span class="match term1">Aurora B</span> kinase maintaining spindle assembly checkpoint integrity [103] while USP44 stabilizes Mad2/Cdc20 complex inhibiting premature activation of the APC/CCdh1 complex	USP	1	Training data	H.sapiens
72	UBP1_HUMAN	SNAI1_HUMAN	O94782	O95863	USP1	SNAI1	MEDLINE	33926817	<span class="match term0">UBIQUITIN SPECIFIC PEPTIDASE 1</span> promotes hepatic fibrosis through positive regulation of CXCL1 by deubiquitinating <span class="match term1">SNAIL</span>	USP	1	Other	H.sapiens
73	CSN5_HUMAN	CUL4A_HUMAN	Q92905	Q13619	COPS5	CUL4A	MEDLINE	12732143	Figure 4|in vitro deneddylation assay also demonstrated that <span class="match term0">CSN</span> could de-ubiquitinat <span class="match term1">Cul4a</span>	JAMM	1	Other	H.sapiens
74	UBP36_HUMAN	DHX33_HUMAN	Q9P275	Q9H6R0	USP36	DHX33	MEDLINE	29273634	Collectively, these results support that <span class="match term0">Usp36</span> is essential for cell and organism viability because of its role in ribosomal RNA processing and protein synthesis, which is mediated, at least in part, by regulating <span class="match term1">DHX33</span> stability.	USP	1	Training data	H.sapiens
75	UBP36_HUMAN	EZH2_HUMAN	Q9P275	Q15910	USP36	EZH2	MEDLINE	31434700	Furthermore, we identify <span class="match term0">USP36</span> as the deubiquitinating enzyme which deubiquitinates <span class="match term1">EZH2</span> at K222	USP	1	Other	H.sapiens
76	UBP19_HUMAN	SYVN1_HUMAN	O94966	Q86TM6	USP19	SYVN1	MEDLINE	27827840	We demonstrate that <span class="match term0">USP19</span> rescues <span class="match term1">HRD1</span> from proteasomal degradation by deubiquitination of K48-linked ubiquitin chains	USP	1	Training data	H.sapiens
77	CYLD_HUMAN	NLRP6_HUMAN	Q9NQC7	P59044	CYLD	NLRP6	MEDLINE	32424362	Here, we demonstrate that the deubiquitinase <span class="match term0">Cyld</span> prevents excessive interleukin 18 (IL-18) production in the colonic mucosa by deubiquitinating <span class="match term1">NLRP6</span>	USP	1	Other	H.sapiens
78	CYLD_HUMAN	TRAF6_HUMAN	Q9NQC7	Q9Y4K3	CYLD	TRAF6	MEDLINE	28335430	Moreover, additional studies showed that <span class="match term0">CYLD</span> specifically deubiquitinates polyubiquitin chains at K63 of different substrates (e.g., TRAF2 and <span class="match term1">TRAF6</span>), or tyrosine kinase receptors such as TrkA.	USP	1	Training data	H.sapiens
79	UBP8_HUMAN	ERBB3_HUMAN	P40818	P21860	USP8	ERBB3	MEDLINE	25121098	<span class="match term0">USP8</span> regulates another EGFR family member, <span class="match term1">ErbB3</span> by modulating Nrdp1 (neuregulin-receptor-degradation protein-1)	USP	1	Training data	H.sapiens
80	OTU7B_HUMAN	TRAF3_HUMAN	Q6GQQ9	Q13114	OTUD7B	TRAF3	MEDLINE	23334419	<span class="match term0">OTUD7B</span> controls non-canonical NF-kappaB activation through deubiquitination of <span class="match term1">TRAF3</span>	OTU	1	Training data	H.sapiens
81	UBP4_HUMAN	PPIA_HUMAN	Q13107	P62937	USP4	PPIA	MEDLINE	29396555	Mechanistically, cyclophilin A (<span class="match term1">CypA</span>) was identified as an important molecule for <span class="match term0">USP4</span>-mediated oncogenic activity in HCC.	USP	1	Training data	H.sapiens
82	OTUB1_HUMAN	TRAF3_HUMAN	Q96FW1	Q13114	OTUB1	TRAF3	MEDLINE	19996094	Regulation of virus-triggered signaling by <span class="match term0">OTUB1</span>- and OTUB2-mediated deubiquitination of <span class="match term1">TRAF3</span> and TRAF6	OTU	1	Training data	H.sapiens
83	CYLD_HUMAN	NOX4_HUMAN	Q9NQC7	Q9NPH5	CYLD	NOX4	MEDLINE	28751569	Moreover, <span class="match term1">Nox4</span> was deubiquitinated via a direct interaction with the ubiquitin-specific protease domain of <span class="match term0">CYLD</span>.	USP	1	Training data	H.sapiens
84	ATX3_HUMAN	RHEB_HUMAN	P54252	Q15382	ATXN3	RHEB	MEDLINE	33157014	Mechanistically, we identified <span class="match term0">ATXN3</span> as a Ub-<span class="match term1">Rheb</span> deubiquitinase whose lysosomal localization is blocked by active Rag heterodimer in response to amino acid stimulation	Josephin	1	Other	H.sapiens
85	UBP22_HUMAN	BMI1_HUMAN	Q9UPT9	P35226	USP22	BMI1	MEDLINE	29788550	All these findings indicate <span class="match term0">USP22</span> as a novel deubiquitinase of <span class="match term1">BMI1</span> in glioma	USP	1	Training data	H.sapiens
86	UBP14_HUMAN	AURKB_HUMAN	P54578	Q96GD4	USP14	AURKB	MEDLINE	28662510	The Deubiquitinating Enzyme <span class="match term0">USP14</span> Regulates Leukemic Chemotherapy Drugs-Induced Cell Apoptosis by Suppressing Ubiquitination of <span class="match term1">Aurora Kinase B</span>	USP	1	Training data	H.sapiens
87	ATX3_HUMAN	BAD_HUMAN	P54252	Q92934	ATXN3	BAD	MEDLINE	28279784	28279784	Josephin	1	Training data	H.sapiens
88	ATX3_HUMAN	BAX_HUMAN	P54252	Q07812	ATXN3	BAX	MEDLINE	28279784	28279784	Josephin	1	Training data	H.sapiens
89	UBP10_HUMAN	AAPK1_HUMAN	Q14694	Q13131	USP10	PRKAA1	MEDLINE	26876938	The deubiquitinase <span class="match term0">USP10</span> specifically removes ubiquitination on <span class="match term1">AMPKA</span> to facilitate <span class="match term1">AMPKA</span> phosphorylation by LKB1	USP	1	Other	H.sapiens
90	UBP49_HUMAN	FKBP5_HUMAN	Q70CQ1	Q13451	USP49	FKBP5	MEDLINE	28363942	Mechanistically, <span class="match term0">USP49</span> deubiquitinates and stabilizes <span class="match term1">FKBP51</span>, which in turn enhances PHLPP's capability to dephosphorylate AKT Furthermore, <span class="match term0">USP49</span> inhibited pancreatic cancer cell proliferation and enhanced cellular response to gemcitabine in a <span class="match term1">FKBP51</span>-AKT-dependent manner.	USP	1	Training data	H.sapiens
91	UBP18_HUMAN	NEMO_HUMAN	Q9UMW8	Q9Y6K9	USP18	IKBKG	MEDLINE	26240016	<span class="match term0">USP18</span> negatively regulates NF-kappaB signaling by targeting TAK1 and <span class="match term1">NEMO</span> for deubiquitination through distinct mechanisms	USP	1	Training data	H.sapiens
92	ATX3_HUMAN	BECN1_HUMAN	P54252	Q14457	ATXN3	BECN1	MEDLINE	28445460	28445460	Josephin	1	Other	H.sapiens
93	UBP48_HUMAN	GLI1_HUMAN	Q86UV5	P08151	USP48	GLI1	MEDLINE	28623188	<span class="match term1">Gli1</span>-induced deubiquitinase <span class="match term0">USP48</span> aids glioblastoma tumorigenesis by stabilizing <span class="match term1">Gli1</span>	USP	1	Training data	H.sapiens
94	UBP49_HUMAN	FKBP4_HUMAN	Q70CQ1	Q02790	USP49	FKBP4	MEDLINE	28363942	Mechanistically, <span class="match term0">USP49</span> deubiquitinates and stabilizes <span class="match term1">FKBP51</span>, which in turn enhances PHLPP's capability to dephosphorylate AKT Furthermore, <span class="match term0">USP49</span> inhibited pancreatic cancer cell proliferation and enhanced cellular response to  gemcitabine in a <span class="match term1">FKBP51</span>-AKT-dependent manner.	USP	1	Other	H.sapiens
95	UBP19_HUMAN	BECN1_HUMAN	O94966	Q14457	USP19	BECN1	MEDLINE	26988033	<span class="match term0">USP19</span> modulates autophagy and antiviral immune responses by deubiquitinating <span class="match term1">Beclin-1</span>	USP	1	Training data	H.sapiens
