NUMBER	SwissProt ID (E3)	SwissProt ID (Substrate)	SwissProt AC (E3)	SwissProt AC (Substrate)	Gene Symbol (E3)	Gene Symbol (Substrate)	SOURCE	SOURCEID	SENTENCE	E3TYPE	COUNT	type	species
40	HOS1_ARATH	ICE1_ARATH	Q84JU6	Q9LSE2	HOS1	SCRM	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
41	BRE1A_ARATH	H2B6_ARATH	Q8RXD6	O23629	HUB1	H2B	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
42	BRE1B_ARATH	H2B6_ARATH	Q9C895	O23629	HUB2	H2B	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
43	KEG_ARATH	ABI5_ARATH	Q9FY48	Q9SJN0	KEG	ABI5	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
44	LOFG2_ARATH	P2C56_ARATH	Q9S752	P49597	LOG2	ABI1	MEDLINE	33077597	Both UBC27 and AIRP3 interact with <span class="match term1">ABI1</span> and affect the ubiquitination and degradation of <span class="match term1">ABI1</span>	RING	1	Other	A.thaliana
45	MIEL1_ARATH	MYB30_ARATH	Q8VZK0	Q9SCU7	MIEL1	MYB30	MEDLINE	30923370	Addendum: Arabidopsis ubiquitin ligase <span class="match term0">MIEL1</span> mediates degradation of the transcription factor <span class="match term1">MYB30</span> weakening plant defence.	RING	1	Other	A.thaliana
46	ORTH3_ARATH	DNMT1_ARATH	Q9FVS2	P34881	ORTH3	DMT1	MEDLINE	32769133	We demonstrate that VIM5 is a ubiquitin E3 ligase and directly targets DNA methyltransferases MET1 and CMT3 for degradation by the ubiquitin 26S proteasome proteolytic pathway	RING	1	Other	A.thaliana
47	ORTH3_ARATH	CMT3_ARATH	Q9FVS2	Q94F88	ORTH3	CMT3	MEDLINE	32769133	We demonstrate that VIM5 is a ubiquitin E3 ligase and directly targets DNA methyltransferases MET1 and <span class="match term1">CMT3</span> for degradation by the ubiquitin 26S proteasome proteolytic pathway	RING	1	Other	A.thaliana
48	PEX12_ARATH	PEX5_ARATH	Q9M841	Q9FMA3	PEX12	PEX5	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
49	PRL1_ARATH	KIN10_ARATH	Q42384	Q38997	PRL1	KIN10	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
50	PUB13_ARATH	FLS2_ARATH	Q9SNC6	Q9FL28	PUB13	FLS2	MEDLINE	29868071	The Arabidopsis <span class="match term0">PUB13</span> has been shown to attenuate the pattern recognition receptor <span class="match term1">FLS2</span>-mediated immune signaling by ubiquitinating <span class="match term1">FLS2</span> and consequently promoting its degradation by the 26S proteasome	Other	1	Other	A.thaliana
51	PUB22_ARATH	PSD8A_ARATH	Q9SVC6	Q9SGW3	PUB22	RPN12A	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
52	PUB23_ARATH	PSD8A_ARATH	Q84TG3	Q9SGW3	PUB23	RPN12A	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
53	PUB25_ARATH	MYB15_ARATH	Q9LT79	Q9LTC4	PUB25	MYB15	MEDLINE	31543444	Both <span class="match term0">PUB25</span> and PUB26 poly-ubiquitinate <span class="match term1">MYB15</span>, a transcriptional repressor of the CBF-dependent cold signaling pathway, leading to <span class="match term1">MYB15</span> degradation and thus enhanced CBF expression under cold stress	Other	1	Other	A.thaliana
54	RGLG1_ARATH	M3K18_ARATH	Q9SS90	Q9ZVP5	RGLG1	MAPKKK18	MEDLINE	32970364	Ubiquitin ligases <span class="match term0">RGLG1</span> and RGLG2 ubiquitinated <span class="match term1">MAPKKK18</span> at lysine residue K32 and K154, and promoted its degradation	RING	1	Other	A.thaliana
55	RGLG2_ARATH	M3K18_ARATH	Q9LY87	Q9ZVP5	RGLG2	MAPKKK18	MEDLINE	32970364	Ubiquitin ligases RGLG1 and <span class="match term0">RGLG2</span> ubiquitinated <span class="match term1">MAPKKK18</span> at lysine residue K32 and K154, and promoted its degradation	RING	1	Other	A.thaliana
56	RHA2B_ARATH	MYB30_ARATH	Q9ZU51	Q9SCU7	RHA2B	MYB30	MEDLINE	30030326	The Ubiquitin E3 Ligase <span class="match term0">RHA2b</span> Promotes Degradation of <span class="match term1">MYB30</span> in Abscisic Acid Signaling	RING	1	Other	A.thaliana
57	RKP_ARATH	KRP1_ARATH	Q9SIZ8	Q67Y93	RKP	KRP1	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
58	RKP_ARATH	KRP2_ARATH	Q9SIZ8	Q9SCR2	RKP	KRP2	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
59	RMA1_ARATH	PIP21_ARATH	O64425	P43286	RMA1	PIP2-1	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
60	RMA2_ARATH	ABP1_ARATH	P93030	P33487	RMA2	ERABP1	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
61	SAP5_ARATH	ENO2_ARATH	Q9LHJ8	P25696	SAP5	ENO2	MEDLINE	23952686	UbiNet 2.0	Other	1	Other	A.thaliana
62	SAP5_ARATH	DRIP1_ARATH	Q9LHJ8	Q9M9Y4	SAP5	DRIP1	MEDLINE	29089392	The E3 Ligase TaSAP5 Alters Drought Stress Responses by Promoting the Degradation of DRIP Proteins.	Other	1	Other	A.thaliana
63	SAP5_ARATH	DRIP2_ARATH	Q9LHJ8	Q94AY3	SAP5	DRIP2	MEDLINE	29089392	The E3 Ligase TaSAP5 Alters Drought Stress Responses by Promoting the Degradation of DRIP Proteins.	Other	1	Other	A.thaliana
64	SAP5_ARATH	HS905_ARATH	Q9LHJ8	Q9SIF2	SAP5	HSP90-5	MEDLINE	31481192	UbiNet 2.0	Other	1	Other	A.thaliana
65	SINA5_ARATH	NAC22_ARATH	Q8S3N1	Q84TE6	SINAT5	NAC021	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
66	-	IF4A1_ARATH	-	P41376	TaMAB2	EIF4A1	MEDLINE	31824527	UbiNet 2.0	Other	1	Other	A.thaliana
67	-	IF2C_ARATH	-	Q9SHI1	TaMAB2	At1g17220	MEDLINE	31824527	UbiNet 2.0	Other	1	Other	A.thaliana
68	-	F4J6A1_ARATH	-	F4J6A1	TaMAB2	EIF3G1	MEDLINE	31824527	UbiNet 2.0	Other	1	Other	A.thaliana
69	-	EIF3C_ARATH	-	O49160	TaMAB2	TIF3C1	MEDLINE	31824527	UbiNet 2.0	Other	1	Other	A.thaliana
70	-	EIF3A_ARATH	-	Q9LD55	TaMAB2	TIF3A1	MEDLINE	31824527	UbiNet 2.0	Other	1	Other	A.thaliana
71	-	RR9_ARATH	-	Q9XJ27	TaMAB2	RPS9	MEDLINE	31824527	UbiNet 2.0	Other	1	Other	A.thaliana
72	THOC6_ARATH	ABI5_ARATH	Q8L4M1	Q9SJN0	THO6	ABI5	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
73	TIR1_ARATH	IAA12_ARATH	Q570C0	Q38830	TIR1	IAA12	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
74	TIR1_ARATH	IAA3_ARATH	Q570C0	Q38822	TIR1	IAA3	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
75	TIR1_ARATH	IAA7_ARATH	Q570C0	Q38825	TIR1	IAA7	MEDLINE	22199232	E3Net	Other	1	Other	A.thaliana
76	UPL5_ARATH	WRK53_ARATH	Q9SU29	Q9SUP6	UPL5	WRKY53	MEDLINE	22199232	E3Net	HECT	1	Other	A.thaliana
77	XB32_ARATH	1A14_ARATH	Q6NLQ8	Q43309	XBAT32	ACS4	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
78	XB32_ARATH	1A17_ARATH	Q6NLQ8	Q9STR4	XBAT32	ACS7	MEDLINE	22199232	E3Net	RING	1	Other	A.thaliana
79	XB35_ARATH	ELF3_ARATH	Q4FE47	O82804	XBAT35	ELF3	MEDLINE	33963671	<span class="match term0">XBAT35</span> interacts with <span class="match term1">ELF3</span> and ubiquitinates <span class="match term1">ELF3</span>	RING	1	Other	A.thaliana
80	BACD1_BOVIN	RHOA_BOVIN	Q2T9W0	P61585	KCTD13	RHOA	MEDLINE	22199232	E3Net	BTB_OTHER	1	Other	B.taurus
81	KLH21_BOVIN	AURKB_BOVIN	Q08DS0	Q7YRC6	KLHL21	AURKB	MEDLINE	22199232	E3Net	BTB_3	1	Other	B.taurus
82	MARH5_BOVIN	FIS1_BOVIN	Q3ZC24	Q3T0I5	MARCHF5	FIS1	MEDLINE	22199232	E3Net	RING	1	Other	B.taurus
83	PAXI1_BOVIN	PCNA_BOVIN	A0JNA8	Q3ZBW4	PAXIP1	PCNA	MEDLINE	22199232	E3Net	Other	1	Other	B.taurus
84	RN220_BOVIN	RN220_BOVIN	Q08DV5	Q08DV5	RNF220	RNF220	MEDLINE	22199232	E3Net	RING	1	Other	B.taurus
85	SPOP_BOVIN	BMI1_BOVIN	Q0VCW1	Q32KX7	SPOP	BMI1	MEDLINE	22199232	E3Net	Other	1	Other	B.taurus
86	TRI17_BOVIN	TRI17_BOVIN	Q2T9Z0	Q2T9Z0	TRIM17	TRIM17	MEDLINE	22199232	E3Net	RING	1	Other	B.taurus
87	RO52_BOVIN	UBP4_BOVIN	Q7YRV4	A6QR55	TRIM21	USP4	MEDLINE	22199232	E3Net	RING	1	Other	B.taurus
88	RO52_BOVIN	IKKB_BOVIN	Q7YRV4	Q95KV0	TRIM21	IKBKB	MEDLINE	22199232	E3Net	RING	1	Other	B.taurus
89	BARD1_CAEEL	H2A_CAEEL	Q21209	P09588	brd-1	his-68	MEDLINE	30804228	30804228	RING	1	Other	C.elegans
90	G5ECY6_CAEEL	PK3C3_CAEEL	G5ECY6	Q9TXI7	chn-1	vps-34	MEDLINE	29092895	We found that UBC-13 functions with UEV-1, a noncatalytic E2 variant, and <span class="match term0">CHN-1</span>, a U-box-containing E3 ubiquitin ligase, to catalyze K63-linked poly-ubiquitination on <span class="match term1">VPS-34</span> both in vitro and in Caenorhabditis elegans Loss of ubc-13, uev-1, or <span class="match term0">chn-1</span> disrupts ubiquitin modification of <span class="match term1">VPS-34</span> and causes significantly reduced <span class="match term1">VPS-34</span> protein levels	UBOX	1	Other	C.elegans
91	G5ECY6_CAEEL	INSR_CAEEL	G5ECY6	Q968Y9	chn-1	daf-2	MEDLINE	28431247	28431247	UBOX	1	Other	C.elegans
92	O61899_CAEEL	RAPSN_CAEEL	O61899	Q09485	Deleted	rpy-1	MEDLINE	22199232	E3Net	Other	1	Other	C.elegans
93	Q9BMU2_CAEEL	Q09981_CAEEL	Q9BMU2	Q09981	Deleted	Deleted	MEDLINE	22199232	E3Net	Other	1	Other	C.elegans
94	Q9GUP2_CAEEL	SKN1_CAEEL	Q9GUP2	P34707	eel-1	skn-1	MEDLINE	22199232	E3Net	HECT	1	Other	C.elegans
95	Q9GUP2_CAEEL	OGT1_CAEEL	Q9GUP2	O18158	eel-1	ogt-1	MEDLINE	30858176	30858176	HECT	1	Other	C.elegans
96	FBXL_CAEEL	RIM_CAEEL	P34284	Q22366	fbxl-1	unc-10	MEDLINE	30460068	30460068	F-box	1	Other	C.elegans
97	FEM1_CAEEL	TRA1_CAEEL	P17221	P34708	fem-1	tra-1	MEDLINE	22199232	E3Net	SINGLE_OTHER	1	Other	C.elegans
98	SKP1B_DICDI	SKR1_CAEEL	Q557E4	G5ECU1	fpaB1	skr1	MEDLINE	28739890	28739890	Other	1	Other	C.elegans
99	APC1_CAEEL	CCNB3_CAEEL	O18191	Q10654	mat2	cyb3	MEDLINE	31588029	31588029	Other	1	Other	C.elegans
100	CDC23_CAEEL	SAS5_CAEEL	Q19294	Q20010	mat3	sas5	MEDLINE	29030390	29030390	Other	1	Other	C.elegans
101	MEL26_CAEEL	KTNA1_CAEEL	Q94420	P34808	mel-26	mei-1	MEDLINE	22199232	E3Net	Other	1	Other	C.elegans
102	MEL26_CAEEL	FIGL1_CAEEL	Q94420	O16299	mel-26	figl-1	MEDLINE	22199232	E3Net	Other	1	Other	C.elegans
103	Q9U2C5_CAEEL	LIN12_CAEEL	Q9U2C5	P14585	mib1	lin12	MEDLINE	29531012	29531012	RING	1	Other	C.elegans
104	Q9U2C5_CAEEL	GLP1_CAEEL	Q9U2C5	P13508	mib1	glp1	MEDLINE	29531012	29531012	RING	1	Other	C.elegans
105	RPM1_CAEEL	Q18909_CAEEL	Q17551	Q18909	rpm1	cebp1	MEDLINE	28673818	Previous studies revealed that the levels of cebp-1 mRNA in neurons depend on its 3' UTR and are also negatively regulated by the E3 ubiquitin ligase RPM-1	RING	1	Other	C.elegans
106	RPM1_CAEEL	UNC51_CAEEL	Q17551	Q23023	rpm-1	unc-51	MEDLINE	31676756	31676756	RING	1	Other	C.elegans
107	RPM1_CAEEL	DLK1_CAEEL	Q17551	O01700	rpm-1	dlk-1	MEDLINE	22199232	E3Net	RING	1	Other	C.elegans
108	SEL10_CAEEL	LIN41_CAEEL	Q17389	Q9U489	sel-10	lin-41	MEDLINE	30206186	Elimination of <span class="match term1">LIN-41</span> requires the activities of CDK-1 and multiple SCF (Skp1, Cul1, and F-box protein)-type E3 ubiquitin ligase subunits, including the conserved substrate adaptor protein SEL-10/Fbw7/Cdc4, suggesting that <span class="match term1">LIN-41</span> is a target of ubiquitin-mediated protein degradation	F-box	1	Other	C.elegans
109	HRD1_CAEEL	Q9BMU4_CAEEL	Q20798	Q9BMU4	sel-11	atln-1	MEDLINE	32916628	32916628	RING	1	Other	C.elegans
110	Q19019_CAEEL	SRC1_CAEEL	Q19019	G5EE56	sli-1	src-1	MEDLINE	29498112	29498112	RING	1	Other	C.elegans
111	H2KYH3_CAEEL	H2A_CAEEL	H2KYH3	P09588	spat3	his68	MEDLINE	29386386	29386386	Other	1	Other	C.elegans
112	Q9XYW6_DROME	INSR_CAEEL	Q9XYW6	Q968Y9	STUB1	daf-2	MEDLINE	28959501	28959501	UBOX	1	Other	C.elegans
113	UBR1_CAEEL	LIN28_CAEEL	P91133	P92186	ubr-1	lin-28	MEDLINE	28602583	We show that CED-3 caspase and the E3 ubiquitin ligase <span class="match term0">UBR-1</span> form a complex that couples their in vivo activities, allowing for recognition and rapid degradation of <span class="match term1">LIN-28</span> and thus facilitating a switch in developmental programs	UBOX	1	Other	C.elegans
114	UBE4_CAEEL	MYO3_CAEEL	Q09349	P12844	ufd-2	myo-3	MEDLINE	29396393	29396393	UBOX	1	Other	C.elegans
115	VHL_CAEEL	O45486_CAEEL	Q19213	O45486	vhl-1	Deleted	MEDLINE	22199232	E3Net	Other	1	Other	C.elegans
116	Q9N2Z7_CAEEL	PQE1_CAEEL	Q9N2Z7	Q10124	wwp1	pqe1	MEDLINE	30194090	30194090	HECT	1	Other	C.elegans
117	Q9N2Z7_CAEEL	RPB1_CAEEL	Q9N2Z7	P16356	wwp-1	ama-1	MEDLINE	22199232	E3Net	HECT	1	Other	C.elegans
118	Q9N2Z7_CAEEL	Q9XUK2_CAEEL	Q9N2Z7	Q9XUK2	wwp-1	zip-3	MEDLINE	30850535	Mitochondrial UPR repression during	HECT	1	Other	C.elegans
119	BRE1_DROME	H2B_DROME	Q9VRP9	P02283	Bre1	His2B	MEDLINE	22199232	E3Net	RING	1	Other	D.melanogaster
120	Q9VSK2_DROME	SRC42_DROME	Q9VSK2	Q9V9J3	Cbl	Src42A	MEDLINE	29498112	29498112	RING	1	Other	D.melanogaster
121	Q9VGE3_DROME	YAP1_DROME	Q9VGE3	Q45VV3	DCAF12	yki	MEDLINE	31857346	CDK7 regulates organ size and tumor growth by safeguarding the Hippo pathway effector <span class="match term1">Yki</span>/Yap/Taz in the nucleus.	DWD	1	Other	D.melanogaster
122	DIAP1_DROME	DIAP1_DROME	Q24306	Q24306	Diap1	Diap1	MEDLINE	22199232	E3Net	RING	1	Other	D.melanogaster
123	DIAP1_DROME	DRONC_DROME	Q24306	Q9XYF4	Diap1	Dronc	MEDLINE	22199232	E3Net	RING	1	Other	D.melanogaster
124	DIAP1_DROME	RPR_DROME	Q24306	Q24475	Diap1	rpr	MEDLINE	22199232	E3Net	RING	1	Other	D.melanogaster
125	DIAP2_DROME	DIAP1_DROME	Q24307	Q24306	Diap2	Diap1	MEDLINE	22199232	E3Net	RING	1	Other	D.melanogaster
126	A1Z971_DROME	Q8IPM1_DROME	A1Z971	Q8IPM1	dRNF34	srl	MEDLINE	30247505	RNF34 modulates the mitochondrial biogenesis and exercise capacity in muscle and lipid metabolism through ubiquitination of PGC-1 in Drosophila.	RING	1	Other	D.melanogaster
127	O18402_DROME	ORC1_DROME	O18402	O16810	fzr	Orc1	MEDLINE	22199232	E3Net	Other	1	Other	D.melanogaster
128	Q9W4H9_DROME	WARTS_DROME	Q9W4H9	Q9VA38	fzr	wts	MEDLINE	31000600	31000600	CDC20	1	Other	D.melanogaster
129	Q24044_DROME	CCNB_DROME	Q24044	P20439	fzy	CycB	MEDLINE	22199232	E3Net	CDC20	1	Other	D.melanogaster
130	Q24044_DROME	Q7JX41_DROME	Q24044	Q7JX41	fzy	geminin	MEDLINE	22199232	E3Net	CDC20	1	Other	D.melanogaster
131	HIW_DROME	Q9VC03_DROME	Q9NB71	Q9VC03	hiw	Nmnat	MEDLINE	29997255	29997255	RING	1	Other	D.melanogaster
132	Q6GKZ1_DROME	Q9VH01_DROME	Q6GKZ1	Q9VH01	klhl10	Bruce	MEDLINE	20643358;17880263	20643358;17880263	BTB_3	1	Other	D.melanogaster
133	Q9VGE5_DROME	Q9VES0_DROME	Q9VGE5	Q9VES0	KLHL18	Dmel\CG10324	MEDLINE	22199232	E3Net	BTB_3	1	Other	D.melanogaster
134	Q9VGE5_DROME	Q9XYZ6_DROME	Q9VGE5	Q9XYZ6	KLHL18	UKL	MEDLINE	22199232	E3Net	BTB_3	1	Other	D.melanogaster
135	Q9VGE5_DROME	Q9VIZ3_DROME	Q9VGE5	Q9VIZ3	KLHL18	l(2)37Cb	MEDLINE	22199232	E3Net	BTB_3	1	Other	D.melanogaster
136	L2DTL_DROME	E2F1_DROME	Q24371	Q27368	l(2)dtl	E2f1	MEDLINE	22199232	E3Net	Other	1	Other	D.melanogaster
137	DCAF1_DROME	LATS1_MOUSE	Q9W2F2	Q8BYR2	mahj	Lats1	MEDLINE	31170139	UbiNet 2.0	DWD	1	Other	D.melanogaster
138	MIB_DROME	SERR_DROME	Q9VUX2	P18168	mib1	Ser	MEDLINE	22199232	E3Net	RING	1	Other	D.melanogaster
139	MIB_DROME	DL_DROME	Q9VUX2	P10041	mib1	Dl	MEDLINE	22199232	E3Net	RING	1	Other	D.melanogaster
140	B7Z0L8_DROME	E2F1_DROME	B7Z0L8	Q27368	moi	E2f1	MEDLINE	19081076	UbiNet 2.0	Other	1	Other	D.melanogaster
141	NEDD4_DROME	Q9W213_DROME	Q9VVI3	Q9W213	Nedd4	robo1	MEDLINE	30893602	Ndfip proteins recruit <span class="match term0">Nedd4</span> E3 ubiquitin ligases to promote <span class="match term1">Robo1</span> ubiquitylation and degradation	HECT	1	Other	D.melanogaster
142	NEDD4_DROME	COMM_DROME	Q9VVI3	Q24139	Nedd4	comm	MEDLINE	22199232	E3Net	HECT	1	Other	D.melanogaster
143	NEDD4_DROME	NOTCH_DROME	Q9VVI3	P07207	Nedd4	N	MEDLINE	15620649	UbiNet 2.0	HECT	1	Other	D.melanogaster
144	NEDD4_DROME	Q9NCC3_DROME	Q9VVI3	Q9NCC3	Nedd4	SH3PX1	MEDLINE	30518551	30518551	HECT	1	Other	D.melanogaster
145	NEUR_DROME	SERR_DROME	P29503	P18168	neur	Ser	MEDLINE	22199232	E3Net	RING	1	Other	D.melanogaster
146	NEUR_DROME	DL_DROME	P29503	P10041	neur	Dl	MEDLINE	22199232	E3Net	RING	1	Other	D.melanogaster
147	Q7KTX7_DROME	MARF_DROME	Q7KTX7	Q7YU24	park	Marf	MEDLINE	30219582	This genetic interaction was explained by the subsequent discovery that <span class="match term0">Parkin</span> physically interacts with and ubiquitinates <span class="match term1">Marf (dMfn)</span>, fly homologue of mammalian Mitofusins, to control its steady state levels	RING	1	Other	D.melanogaster
148	Q7KTX7_DROME	VDAC_DROME	Q7KTX7	Q94920	park	porin	MEDLINE	32047033	32047033	RING	1	Other	D.melanogaster
149	M9PB68_DROME	Q0KIB3_DROME	M9PB68	Q0KIB3	poe	Hat1	MEDLINE	31365869	31365869	Other	1	Other	D.melanogaster
